,Video,Start,End,gsrStart,gsrEnd,ValenceStart,ValenceEnd,ArousalStart,ArousalEnd,user,Probe
69,1,1999021,2004020,3.667,4.14,6.232,6.658,7.527,7.689,30,1
70,1,2004020,2009021,4.14,4.349,6.658,6.658,7.689,7.684,30,1
71,1,2009021,2014021,4.349,4.534,6.658,7.845,7.684,8.544,30,0
72,1,2151045,2156045,8.276,9.048,7.325,8.126,6.17,6.193,22,0
73,1,2156045,2161045,9.048,9.234,8.126,8.205,6.193,6.063,22,1
74,1,2161045,2166046,9.234,9.565,8.205,8.205,6.063,6.062,22,0
75,1,2166046,2171045,9.565,9.269,8.205,8.205,6.062,6.053,22,0
76,1,2171045,2176046,9.269,9.127,8.205,8.205,6.053,6.033,22,1
77,1,2176046,2181046,9.127,9.08,8.205,8.587,6.033,6.508,22,0
78,1,2181046,2186047,9.08,9.1,8.587,8.303,6.508,6.255,22,0
79,1,2186047,2191046,9.1,8.978,8.303,8.411,6.255,6.255,22,0
80,1,2191046,2196047,8.978,8.985,8.411,8.506,6.255,6.255,22,0
81,1,2196047,2201047,8.985,9.045,8.506,8.693,6.255,6.157,22,0
82,1,2201047,2206047,9.045,9.037,8.693,8.669,6.157,6.148,22,0
83,1,2206047,2211047,9.037,9.072,8.669,8.697,6.148,5.599,22,0
84,1,2211047,2216048,9.072,8.978,8.697,8.697,5.599,5.578,22,0
85,1,2216048,2221048,8.978,8.974,8.697,8.697,5.578,5.613,22,0
86,1,2221048,2226048,8.974,9.021,8.697,8.697,5.613,5.672,22,0
87,1,2226048,2231048,9.021,8.962,8.697,8.356,5.672,5.714,22,0
88,1,2231048,2236049,8.962,8.942,8.356,8.356,5.714,5.727,22,0
89,1,2236049,2241048,8.942,8.914,8.356,7.461,5.727,5.638,22,0
90,1,2241048,2246048,8.914,8.82,7.461,8.074,5.638,5.651,22,0
91,1,2246048,2251048,8.82,8.93,8.074,8.085,5.651,5.667,22,0
92,1,2251048,2256049,8.93,8.946,8.085,8.085,5.667,5.686,22,0
93,1,2256049,2261048,8.946,8.981,8.085,8.085,5.686,5.686,22,0
94,1,2261048,2266049,8.981,8.887,8.085,7.625,5.686,5.686,22,0
95,1,2266049,2271049,8.887,8.914,7.625,5.336,5.686,5.242,22,0
96,1,2271049,2276049,8.914,8.891,5.336,5.932,5.242,5.338,22,0
97,1,2276049,2281049,8.891,8.836,5.932,5.932,5.338,5.424,22,0
98,1,2281049,2286049,8.836,8.702,5.932,5.932,5.424,5.424,22,0
99,1,2286049,2291048,8.702,8.737,5.932,7.183,5.424,5.764,22,1
100,1,2291048,2296046,8.737,8.646,7.183,7.325,5.764,5.601,22,0
101,1,2296046,2301045,8.646,8.583,7.325,7.399,5.601,5.364,22,0
102,1,2301045,2306044,8.583,8.477,7.399,7.763,5.364,5.963,22,0
103,1,2306044,2311042,8.477,8.453,7.763,7.189,5.963,5.41,22,0
104,1,2311042,2316041,8.453,8.394,7.189,7.189,5.41,5.41,22,0
105,1,2316041,2321040,8.394,8.331,7.189,7.195,5.41,5.415,22,0
106,1,2321040,2326039,8.331,8.272,7.195,7.221,5.415,5.429,22,0
107,1,2326039,2331037,8.272,8.276,7.221,7.591,5.429,5.467,22,0
108,1,1042325,1047325,29.597,31.131,5.0,6.01,5.0,4.924,13,0
109,1,1047325,1052324,31.131,31.844,6.01,6.673,4.924,5.467,13,0
110,1,1052324,1057323,31.844,31.249,6.673,6.912,5.467,5.555,13,0
111,1,1057323,1062322,31.249,30.819,6.912,7.154,5.555,5.753,13,0
112,1,1062322,1067322,30.819,30.354,7.154,7.28,5.753,6.002,13,0
113,1,1067322,1072322,30.354,29.972,7.28,7.439,6.002,5.909,13,1
114,1,1072322,1077320,29.972,29.558,7.439,7.488,5.909,4.891,13,0
115,1,1077320,1082319,29.558,28.947,7.488,7.503,4.891,4.906,13,0
116,1,1082319,1087319,28.947,28.939,7.503,7.503,4.906,4.906,13,0
117,1,1087319,1092317,28.939,28.497,7.503,7.503,4.906,4.906,13,0
118,1,1092317,1097317,28.497,29.384,7.503,8.173,4.906,5.14,13,0
119,1,1097317,1102316,29.384,29.14,8.173,8.199,5.14,5.184,13,0
120,1,1102316,1107316,29.14,28.588,8.199,8.187,5.184,5.218,13,0
121,1,1107316,1112314,28.588,28.434,8.187,8.169,5.218,5.049,13,1
122,1,1112314,1117314,28.434,28.367,8.169,8.441,5.049,5.125,13,0
123,1,1117314,1122313,28.367,28.521,8.441,8.65,5.125,4.708,13,0
124,1,1122313,1127312,28.521,28.087,8.65,8.673,4.708,4.528,13,0
125,1,1127312,1132311,28.087,28.075,8.673,8.68,4.528,4.528,13,0
126,1,1132311,1137311,28.075,27.535,8.68,8.695,4.528,4.528,13,0
127,1,1137311,1142310,27.535,27.551,8.695,8.733,4.528,4.539,13,0
128,1,1142310,1147309,27.551,28.257,8.733,8.766,4.539,4.703,13,0
129,1,1147309,1152308,28.257,29.325,8.766,8.805,4.703,4.574,13,1
130,1,1152308,1157308,29.325,28.907,8.805,8.805,4.574,4.576,13,0
131,1,1157308,1162306,28.907,28.28,8.805,8.805,4.576,4.576,13,0
132,1,1162306,1167306,28.28,29.562,8.805,9.059,4.576,4.63,13,0
133,1,1167306,1172305,29.562,29.116,9.059,9.059,4.63,4.631,13,0
134,1,1172305,1177305,29.116,28.986,9.059,8.214,4.631,4.55,13,0
135,1,1177305,1182303,28.986,29.991,8.214,8.791,4.55,4.852,13,0
136,1,1182303,1187303,29.991,31.34,8.791,8.882,4.852,5.076,13,0
137,1,1187303,1192302,31.34,30.744,8.882,8.882,5.076,5.268,13,0
138,1,1192302,1197301,30.744,31.009,8.882,8.847,5.268,5.846,13,0
139,1,1197301,1202300,31.009,32.045,8.847,8.847,5.846,5.708,13,0
140,1,1202300,1207300,32.045,31.438,8.847,8.834,5.708,5.726,13,0
141,1,1207300,1212349,31.438,30.67,8.834,8.757,5.726,5.638,13,0
142,1,1212349,1217348,30.67,30.677,8.757,8.757,5.638,5.81,13,0
143,1,1217348,1222347,30.677,30.871,8.757,8.356,5.81,5.487,13,0
144,1,1222347,1227347,30.871,31.702,8.356,8.792,5.487,5.477,13,0
145,1,460198,465199,14.702,14.698,5.0,5.0,5.0,5.0,19,0
146,1,465199,470200,14.698,14.718,5.0,5.069,5.0,5.0,19,0
147,1,470200,475200,14.718,14.659,5.069,5.094,5.0,5.0,19,0
148,1,475200,480200,14.659,14.604,5.094,5.0,5.0,5.0,19,0
149,1,480200,485201,14.604,14.552,5.0,5.056,5.0,5.0,19,0
150,1,485201,490200,14.552,14.509,5.056,5.056,5.0,5.0,19,0
151,1,490200,495201,14.509,14.473,5.056,5.0,5.0,5.0,19,0
152,1,495201,500201,14.473,14.383,5.0,4.835,5.0,5.0,19,0
153,1,500201,505202,14.383,14.304,4.835,4.475,5.0,5.131,19,0
154,1,505202,510201,14.304,14.194,4.475,4.38,5.131,5.073,19,0
155,1,510201,515202,14.194,14.115,4.38,4.38,5.073,5.136,19,0
156,1,515202,520202,14.115,14.016,4.38,3.778,5.136,5.362,19,1
157,1,520202,525202,14.016,13.945,3.778,3.126,5.362,5.171,19,0
158,1,525202,530202,13.945,13.91,3.126,2.946,5.171,5.197,19,0
159,1,530202,535203,13.91,13.72,2.946,2.946,5.197,5.212,19,0
160,1,535203,540203,13.72,13.752,2.946,2.95,5.212,5.212,19,0
161,1,540203,545203,13.752,13.622,2.95,2.973,5.212,5.212,19,0
162,1,545203,550203,13.622,13.511,2.973,2.991,5.212,5.212,19,0
163,1,550203,555204,13.511,13.421,2.991,3.007,5.212,5.212,19,0
164,1,555204,560203,13.421,13.373,3.007,3.008,5.212,5.212,19,0
165,1,560203,565204,13.373,13.291,3.008,3.027,5.212,5.212,19,0
166,1,565204,570208,13.291,13.271,3.027,3.016,5.212,5.347,19,0
167,1,570208,575205,13.271,13.661,3.016,3.067,5.347,5.934,19,0
168,1,575205,580204,13.661,13.642,3.067,3.09,5.934,5.658,19,0
169,1,580204,585205,13.642,13.63,3.09,3.229,5.658,5.428,19,0
170,1,585205,590205,13.63,13.653,3.229,2.984,5.428,5.342,19,0
171,1,590205,595205,13.653,13.642,2.984,2.984,5.342,5.342,19,0
172,1,595205,600205,13.642,13.618,2.984,2.894,5.342,6.782,19,0
173,1,600205,605206,13.618,14.773,2.894,2.289,6.782,6.807,19,1
174,1,605206,610206,14.773,15.1,2.289,2.598,6.807,6.852,19,0
175,1,610206,615206,15.1,15.376,2.598,2.554,6.852,7.074,19,0
176,1,615206,620206,15.376,15.983,2.554,2.709,7.074,6.868,19,0
177,1,620206,625207,15.983,17.005,2.709,6.178,6.868,5.696,19,1
178,1,625207,630206,17.005,18.116,6.178,6.758,5.696,5.621,19,0
179,1,630206,635207,18.116,18.578,6.758,7.826,5.621,5.845,19,0
180,1,635207,640207,18.578,20.718,7.826,7.883,5.845,5.873,19,1
181,1,640207,645208,20.718,21.471,7.883,8.035,5.873,5.846,19,0
182,1,1647239,1652238,36.11,36.564,5.0,5.952,5.0,5.358,14,0
183,1,1652238,1657239,36.564,36.162,5.952,5.952,5.358,5.347,14,0
184,1,1657239,1662239,36.162,35.866,5.952,5.952,5.347,5.347,14,0
185,1,1662239,1667239,35.866,35.511,5.952,5.015,5.347,5.0,14,0
186,1,1667239,1672239,35.511,35.018,5.015,5.0,5.0,5.0,14,1
187,1,1672239,1677240,35.018,34.683,5.0,5.0,5.0,5.0,14,0
188,1,1677240,1682240,34.683,34.659,5.0,6.528,5.0,5.369,14,0
189,1,1682240,1687240,34.659,34.336,6.528,6.138,5.369,5.206,14,0
190,1,1687240,1692240,34.336,34.009,6.138,6.133,5.206,5.206,14,0
191,1,1692240,1697241,34.009,33.883,6.133,6.133,5.206,5.206,14,1
192,1,1697241,1702240,33.883,33.552,6.133,6.731,5.206,5.305,14,0
193,1,1702240,1707241,33.552,33.157,6.731,6.565,5.305,5.305,14,0
194,1,1707241,1712241,33.157,32.731,6.565,5.925,5.305,5.111,14,0
195,1,1712241,1717242,32.731,32.459,5.925,5.925,5.111,5.11,14,0
196,1,1717242,1722241,32.459,32.44,5.925,5.925,5.11,5.087,14,0
197,1,1722241,1727242,32.44,32.124,5.925,5.925,5.087,5.087,14,1
198,1,1727242,1732242,32.124,31.793,5.925,5.259,5.087,5.0,14,0
199,1,1732242,1737242,31.793,31.423,5.259,5.259,5.0,5.0,14,0
200,1,1737242,1742242,31.423,31.111,5.259,5.259,5.0,5.0,14,0
201,1,1742242,1747243,31.111,30.871,5.259,6.029,5.0,5.023,14,0
202,1,1747243,1752243,30.871,30.602,6.029,6.637,5.023,5.141,14,1
203,1,1752243,1757243,30.602,30.394,6.637,5.95,5.141,5.08,14,0
204,1,1757243,1762243,30.394,30.019,5.95,5.95,5.08,5.065,14,0
205,1,1762243,1767244,30.019,29.877,5.95,5.95,5.065,5.062,14,0
206,1,1767244,1772243,29.877,29.593,5.95,5.95,5.062,5.057,14,0
207,1,1772243,1777244,29.593,29.365,5.95,5.95,5.057,5.054,14,0
208,1,1777244,1782244,29.365,29.396,5.95,6.095,5.054,5.913,14,0
209,1,1782244,1787245,29.396,29.104,6.095,7.487,5.913,6.253,14,0
210,1,1787245,1792244,29.104,31.237,7.487,7.804,6.253,6.359,14,0
211,1,1792244,1797245,31.237,30.67,7.804,7.464,6.359,5.607,14,0
212,1,1797245,1802245,30.67,30.63,7.464,7.084,5.607,6.219,14,0
213,1,1802245,1807245,30.63,30.394,7.084,7.18,6.219,5.675,14,0
214,1,1807245,1812245,30.394,30.177,7.18,7.178,5.675,5.675,14,0
215,1,1812245,1817246,30.177,29.995,7.178,7.178,5.675,5.677,14,0
216,1,1817246,1822246,29.995,29.573,7.178,6.267,5.677,5.251,14,0
217,1,1822246,1827246,29.573,29.349,6.267,6.245,5.251,5.251,14,0
218,1,226527,231527,9.301,9.175,4.935,5.075,5.411,5.92,25,0
219,1,231527,236527,9.175,9.155,5.075,5.075,5.92,6.082,25,0
220,1,236527,241527,9.155,9.045,5.075,5.075,6.082,6.102,25,0
221,1,241527,246528,9.045,8.946,5.075,5.075,6.102,6.102,25,0
222,1,246528,251527,8.946,8.879,5.075,5.075,6.102,6.095,25,1
223,1,251527,256528,8.879,8.725,5.075,5.075,6.095,6.078,25,0
224,1,256528,261528,8.725,8.765,5.075,5.037,6.078,5.905,25,0
225,1,261528,266529,8.765,8.591,5.037,5.02,5.905,6.261,25,0
226,1,266529,271528,8.591,8.552,5.02,5.059,6.261,6.412,25,0
227,1,271528,276529,8.552,8.544,5.059,5.059,6.412,6.502,25,0
228,1,276529,281529,8.544,8.41,5.059,4.976,6.502,6.329,25,0
229,1,281529,286529,8.41,8.303,4.976,4.976,6.329,6.331,25,1
230,1,286529,291529,8.303,8.185,4.976,4.822,6.331,5.507,25,0
231,1,291529,296530,8.185,8.071,4.822,4.698,5.507,5.587,25,0
232,1,296530,301530,8.071,8.012,4.698,4.534,5.587,5.762,25,0
233,1,301530,306530,8.012,7.909,4.534,4.534,5.762,5.762,25,0
234,1,306530,311530,7.909,7.807,4.534,4.478,5.762,5.646,25,0
235,1,311530,316531,7.807,7.676,4.478,4.462,5.646,5.674,25,1
236,1,316531,321530,7.676,7.574,4.462,4.45,5.674,5.693,25,0
237,1,321530,326531,7.574,7.503,4.45,3.924,5.693,5.832,25,0
238,1,326531,331531,7.503,7.397,3.924,3.994,5.832,6.459,25,0
239,1,331531,336532,7.397,7.306,3.994,4.114,6.459,6.262,25,0
240,1,336532,341531,7.306,7.227,4.114,3.892,6.262,5.094,25,0
241,1,341531,346532,7.227,7.089,3.892,3.835,5.094,4.917,25,0
242,1,346532,351532,7.089,7.085,3.835,3.939,4.917,4.952,25,1
243,1,351532,356532,7.085,6.987,3.939,4.038,4.952,3.812,25,0
244,1,356532,361532,6.987,6.99,4.038,3.853,3.812,5.176,25,0
245,1,361532,366533,6.99,6.923,3.853,2.809,5.176,5.143,25,0
246,1,366533,371533,6.923,6.888,2.809,2.48,5.143,5.375,25,0
247,1,371533,376533,6.888,6.809,2.48,2.48,5.375,5.278,25,0
248,1,376533,381533,6.809,6.766,2.48,2.262,5.278,6.065,25,0
249,1,381533,386534,6.766,6.691,2.262,2.771,6.065,5.939,25,0
250,1,386534,391533,6.691,6.624,2.771,4.899,5.939,6.041,25,0
251,1,391533,396534,6.624,6.545,4.899,4.088,6.041,6.033,25,0
252,1,396534,401534,6.545,6.47,4.088,4.088,6.033,6.008,25,0
253,1,401534,406535,6.47,6.395,4.088,4.04,6.008,5.927,25,0
254,1,543507,548508,16.752,16.957,5.0,5.065,5.0,5.0,23,0
255,1,548508,553508,16.957,16.721,5.065,5.065,5.0,4.985,23,0
256,1,553508,558508,16.721,15.964,5.065,5.0,4.985,5.0,23,1
257,1,558508,563508,15.964,15.853,5.0,5.0,5.0,5.0,23,0
258,1,563508,568509,15.853,15.845,5.0,5.0,5.0,5.0,23,0
259,1,568509,573508,15.845,15.897,5.0,7.262,5.0,4.975,23,0
260,1,573508,578509,15.897,16.117,7.262,7.75,4.975,5.094,23,0
261,1,578509,583509,16.117,16.658,7.75,7.765,5.094,5.023,23,0
262,1,583509,588510,16.658,16.161,7.765,7.765,5.023,5.023,23,0
263,1,588510,593509,16.161,15.928,7.765,7.765,5.023,4.985,23,0
264,1,593509,598510,15.928,15.849,7.765,7.765,4.985,4.985,23,0
265,1,598510,603510,15.849,15.979,7.765,7.765,4.985,4.985,23,0
266,1,603510,608510,15.979,15.932,7.765,7.765,4.985,4.985,23,0
267,1,608510,613510,15.932,16.11,7.765,7.765,4.985,4.985,23,0
268,1,613510,618511,16.11,15.845,7.765,7.765,4.985,4.984,23,0
269,1,618511,623511,15.845,15.727,7.765,7.765,4.984,4.984,23,0
270,1,623511,628511,15.727,16.346,7.765,7.765,4.984,4.983,23,0
271,1,628511,633511,16.346,15.909,7.765,7.765,4.983,4.983,23,0
272,1,633511,638512,15.909,15.601,7.765,7.765,4.983,4.983,23,1
273,1,638512,643511,15.601,15.786,7.765,7.765,4.983,4.983,23,0
274,1,643511,648512,15.786,15.522,7.765,7.765,4.983,4.983,23,0
275,1,648512,653512,15.522,15.522,7.765,7.765,4.983,4.983,23,0
276,1,653512,658513,15.522,15.451,7.765,7.76,4.983,4.983,23,0
277,1,658513,663512,15.451,15.396,7.76,7.76,4.983,4.983,23,0
278,1,663512,668513,15.396,15.668,7.76,7.76,4.983,4.983,23,0
279,1,668513,673513,15.668,16.228,7.76,7.76,4.983,4.983,23,1
280,1,673513,678513,16.228,16.725,7.76,7.76,4.983,4.983,23,0
281,1,678513,683513,16.725,16.307,7.76,7.925,4.983,4.934,23,0
282,1,683513,688514,16.307,15.83,7.925,8.352,4.934,4.937,23,1
283,1,688514,693514,15.83,16.054,8.352,8.339,4.937,4.937,23,0
284,1,693514,698514,16.054,15.972,8.339,8.308,4.937,4.937,23,0
285,1,698514,703514,15.972,15.814,8.308,7.712,4.937,4.937,23,0
286,1,703514,708515,15.814,15.636,7.712,7.13,4.937,5.094,23,0
287,1,708515,713514,15.636,15.613,7.13,7.028,5.094,5.108,23,0
288,1,713514,718515,15.613,15.589,7.028,7.025,5.108,5.109,23,0
289,1,718515,723515,15.589,15.573,7.025,7.025,5.109,5.126,23,0
290,1,2151019,2156018,41.18,41.322,5.059,6.517,5.0,5.218,12,0
291,1,2156018,2161018,41.322,40.774,6.517,6.654,5.218,5.341,12,0
292,1,2161018,2166018,40.774,40.558,6.654,6.673,5.341,5.403,12,0
293,1,2166018,2171017,40.558,40.215,6.673,6.673,5.403,5.425,12,0
294,1,2171017,2176017,40.215,39.773,6.673,6.673,5.425,5.465,12,1
295,1,2176017,2181017,39.773,39.56,6.673,6.673,5.465,5.469,12,0
296,1,2181017,2186017,39.56,39.335,6.673,6.871,5.469,5.726,12,0
297,1,2186017,2191016,39.335,39.024,6.871,6.862,5.726,5.729,12,0
298,1,2191016,2196016,39.024,38.708,6.862,6.862,5.729,5.729,12,0
299,1,2196016,2201016,38.708,38.421,6.862,6.862,5.729,5.736,12,1
300,1,2201016,2206015,38.421,38.145,6.862,6.862,5.736,5.736,12,0
301,1,2206015,2211015,38.145,37.881,6.862,6.862,5.736,5.736,12,0
302,1,2211015,2216015,37.881,37.601,6.862,6.9,5.736,5.996,12,0
303,1,2216015,2221015,37.601,37.624,6.9,6.863,5.996,6.008,12,0
304,1,2221015,2226014,37.624,38.231,6.863,6.863,6.008,6.008,12,0
305,1,2226014,2231014,38.231,38.007,6.863,6.863,6.008,6.008,12,0
306,1,2231014,2236014,38.007,37.676,6.863,6.863,6.008,6.008,12,0
307,1,2236014,2241013,37.676,37.608,6.863,6.863,6.008,6.008,12,0
308,1,2241013,2246013,37.608,37.348,6.863,6.863,6.008,6.008,12,0
309,1,2246013,2251013,37.348,37.522,6.863,6.863,6.008,6.008,12,0
310,1,2251013,2256013,37.522,37.139,6.863,6.863,6.008,6.008,12,0
311,1,2256013,2261012,37.139,36.804,6.863,6.861,6.008,6.008,12,1
312,1,2261012,2266012,36.804,36.639,6.861,6.764,6.008,6.349,12,0
313,1,2266012,2271012,36.639,36.595,6.764,6.764,6.349,6.358,12,0
314,1,2271012,2276011,36.595,36.173,6.764,6.774,6.358,6.358,12,0
315,1,2276011,2281011,36.173,36.051,6.774,6.792,6.358,6.358,12,0
316,1,2281011,2286011,36.051,35.684,6.792,7.08,6.358,7.113,12,0
317,1,2286011,2291011,35.684,35.803,7.08,7.08,7.113,7.137,12,0
318,1,2291011,2296010,35.803,36.008,7.08,7.087,7.137,7.142,12,0
319,1,2296010,2301010,36.008,35.645,7.087,7.192,7.142,7.415,12,1
320,1,2301010,2306010,35.645,35.42,7.192,7.2,7.415,7.391,12,0
321,1,2306010,2311009,35.42,35.105,7.2,7.206,7.391,7.437,12,0
322,1,2311009,2316009,35.105,34.971,7.206,7.231,7.437,7.428,12,0
323,1,2316009,2321009,34.971,34.817,7.231,7.231,7.428,7.428,12,0
324,1,2321009,2326009,34.817,34.565,7.231,7.231,7.428,7.428,12,0
325,1,2326009,2331008,34.565,34.458,7.231,7.25,7.428,7.568,12,0
326,1,1047300,1052299,28.028,27.054,5.781,5.642,4.99,5.031,7,0
327,1,1052299,1057300,27.054,27.015,5.642,5.642,5.031,5.031,7,0
328,1,1057300,1062300,27.015,27.48,5.642,5.695,5.031,4.94,7,0
329,1,1062300,1067301,27.48,26.857,5.695,5.972,4.94,5.174,7,1
330,1,1067301,1072300,26.857,26.687,5.972,5.402,5.174,5.194,7,0
331,1,1072300,1077301,26.687,26.451,5.402,5.273,5.194,5.0,7,0
332,1,1077301,1082301,26.451,26.258,5.273,5.59,5.0,4.931,7,0
333,1,1082301,1087301,26.258,26.51,5.59,6.1,4.931,5.01,7,0
334,1,1087301,1092301,26.51,26.443,6.1,6.26,5.01,5.01,7,0
335,1,1092301,1097302,26.443,26.565,6.26,6.667,5.01,5.039,7,0
336,1,1097302,1102302,26.565,26.246,6.667,6.833,5.039,5.036,7,0
337,1,1102302,1107302,26.246,26.037,6.833,6.649,5.036,5.094,7,0
338,1,1107302,1112302,26.037,25.931,6.649,6.635,5.094,5.094,7,0
339,1,1112302,1117303,25.931,25.718,6.635,6.586,5.094,5.13,7,0
340,1,1117303,1122302,25.718,25.465,6.586,5.637,5.13,5.124,7,0
341,1,1122302,1127303,25.465,25.181,5.637,5.637,5.124,5.122,7,0
342,1,1127303,1132303,25.181,25.059,5.637,5.637,5.122,5.11,7,0
343,1,1132303,1137304,25.059,24.803,5.637,5.637,5.11,5.104,7,0
344,1,1137304,1142303,24.803,24.456,5.637,5.623,5.104,5.104,7,1
345,1,1142303,1147304,24.456,24.18,5.623,5.524,5.104,5.104,7,0
346,1,1147304,1152304,24.18,23.983,5.524,6.0,5.104,4.971,7,0
347,1,1152304,1157304,23.983,23.711,6.0,6.137,4.971,5.214,7,0
348,1,1157304,1162304,23.711,23.522,6.137,6.145,5.214,5.127,7,1
349,1,1162304,1167305,23.522,23.273,6.145,6.335,5.127,5.127,7,0
350,1,1167305,1172305,23.273,23.064,6.335,6.333,5.127,5.127,7,0
351,1,1172305,1177305,23.064,22.776,6.333,6.316,5.127,5.127,7,0
