,Video,Start,End,ValenceStart,ValenceEnd,ArousalStart,ArousalEnd,gsrStart,gsrEnd,sktStart,sktEnd,bvpStart,bvpEnd,rspStart,rspEnd,emg_zygoStart,emg_zygoEnd,emg_coruStart,emg_coruEnd,emg_trapStart,emg_trapEnd,user,Probe
66,1,1984019,1989020,6.175,6.197,6.763,7.681,3.584,3.497,26.518,26.525,37.155,36.516,37.628,35.721,31.601,30.82,9.424,9.095,8.479,8.438,30,0
67,1,1989020,1994020,6.197,6.232,7.681,7.566,3.497,3.549,26.525,26.536,36.516,37.649,35.721,35.809,30.82,60.841,9.095,9.957,8.438,12.339,30,0
68,1,1994020,1999021,6.232,6.232,7.566,7.527,3.549,3.667,26.536,26.532,37.649,37.155,35.809,35.402,60.841,56.406,9.957,9.382,12.339,9.506,30,0
69,1,1999021,2004020,6.232,6.658,7.527,7.689,3.667,4.14,26.532,26.532,37.155,35.431,35.402,36.67,56.406,22.196,9.382,7.617,9.506,10.368,30,0
70,1,2004020,2009021,6.658,6.658,7.689,7.684,4.14,4.349,26.532,26.546,35.431,36.274,36.67,38.645,22.196,18.048,7.617,7.247,10.368,19.485,30,0
71,1,2009021,2014021,6.658,7.845,7.684,8.544,4.349,4.534,26.546,26.525,36.274,35.983,38.645,37.435,18.048,22.976,7.247,8.767,19.485,10.081,30,0
72,1,2151045,2156045,7.325,8.126,6.17,6.193,8.276,9.048,22.473,22.48,36.971,36.293,32.247,32.585,15.05,14.722,6.549,6.056,10.04,10.656,22,0
73,1,2156045,2161045,8.126,8.205,6.193,6.063,9.048,9.234,22.48,22.497,36.293,36.603,32.585,32.159,14.722,15.378,6.056,6.262,10.656,12.709,22,0
74,1,2161045,2166046,8.205,8.205,6.063,6.062,9.234,9.565,22.497,22.497,36.603,36.109,32.159,32.847,15.378,6.754,6.262,6.097,12.709,10.04,22,1
75,1,2166046,2171045,8.205,8.205,6.062,6.053,9.565,9.269,22.497,22.501,36.109,36.148,32.847,31.637,6.754,6.549,6.097,6.59,10.04,9.957,22,0
76,1,2171045,2176046,8.205,8.205,6.053,6.033,9.269,9.127,22.501,22.494,36.148,37.533,31.637,33.505,6.549,7.329,6.59,5.892,9.957,10.245,22,0
77,1,2176046,2181046,8.205,8.587,6.033,6.508,9.127,9.08,22.494,22.487,37.533,36.167,33.505,31.53,7.329,8.602,5.892,5.933,10.245,10.327,22,0
78,1,2181046,2186047,8.587,8.303,6.508,6.255,9.08,9.1,22.487,22.48,36.167,36.865,31.53,32.566,8.602,10.327,5.933,7.781,10.327,9.506,22,0
79,1,2186047,2191046,8.303,8.411,6.255,6.255,9.1,8.978,22.48,22.487,36.865,37.117,32.566,33.437,10.327,9.588,7.781,6.262,9.506,9.67,22,0
80,1,2191046,2196047,8.411,8.506,6.255,6.255,8.978,8.985,22.487,22.48,37.117,37.349,33.437,31.453,9.588,11.847,6.262,5.851,9.67,9.916,22,0
81,1,2196047,2201047,8.506,8.693,6.255,6.157,8.985,9.045,22.48,22.473,37.349,36.836,31.453,31.898,11.847,8.726,5.851,6.179,9.916,9.793,22,0
82,1,2201047,2206047,8.693,8.669,6.157,6.148,9.045,9.037,22.473,22.469,36.836,36.051,31.898,31.772,8.726,7.534,6.179,5.974,9.793,9.547,22,0
83,1,2206047,2211047,8.669,8.697,6.148,5.599,9.037,9.072,22.469,22.462,36.051,37.252,31.772,31.714,7.534,7.617,5.974,6.056,9.547,9.465,22,0
84,1,2211047,2216048,8.697,8.697,5.599,5.578,9.072,8.978,22.462,22.476,37.252,37.31,31.714,31.695,7.617,7.042,6.056,6.179,9.465,9.301,22,0
85,1,2216048,2221048,8.697,8.697,5.578,5.613,8.978,8.974,22.476,22.48,37.31,36.361,31.695,32.585,7.042,8.233,6.179,6.138,9.301,9.259,22,0
86,1,2221048,2226048,8.697,8.697,5.613,5.672,8.974,9.021,22.48,22.48,36.361,36.361,32.585,32.392,8.233,7.206,6.138,6.138,9.259,8.89,22,0
87,1,2226048,2231048,8.697,8.356,5.672,5.714,9.021,8.962,22.48,22.476,36.361,36.632,32.392,31.753,7.206,6.919,6.138,6.179,8.89,8.684,22,0
88,1,2231048,2236049,8.356,8.356,5.714,5.727,8.962,8.942,22.476,22.459,36.632,36.865,31.753,32.401,6.919,7.822,6.179,5.81,8.684,8.561,22,0
89,1,2236049,2241048,8.356,7.461,5.727,5.638,8.942,8.914,22.459,22.469,36.865,37.059,32.401,31.482,7.822,8.808,5.81,6.262,8.561,8.931,22,0
90,1,2241048,2246048,7.461,8.074,5.638,5.651,8.914,8.82,22.469,22.455,37.059,36.245,31.482,33.224,8.808,8.479,6.262,6.138,8.931,9.424,22,0
91,1,2246048,2251048,8.074,8.085,5.651,5.667,8.82,8.93,22.455,22.462,36.245,37.146,33.224,31.821,8.479,7.042,6.138,6.302,9.424,8.767,22,0
92,1,2251048,2256049,8.085,8.085,5.667,5.686,8.93,8.946,22.462,22.455,37.146,36.003,31.821,31.559,7.042,9.013,6.302,6.426,8.767,8.767,22,0
93,1,2256049,2261048,8.085,8.085,5.686,5.686,8.946,8.981,22.455,22.459,36.003,36.274,31.559,31.763,9.013,9.136,6.426,6.138,8.767,8.931,22,0
94,1,2261048,2266049,8.085,7.625,5.686,5.686,8.981,8.887,22.459,22.462,36.274,37.281,31.763,33.805,9.136,7.863,6.138,6.262,8.931,8.972,22,0
95,1,2266049,2271049,7.625,5.336,5.686,5.242,8.887,8.914,22.462,22.452,37.281,36.768,33.805,31.753,7.863,7.617,6.262,6.426,8.972,9.095,22,0
96,1,2271049,2276049,5.336,5.932,5.242,5.338,8.914,8.891,22.452,22.455,36.768,36.623,31.753,31.937,7.617,7.699,6.426,6.179,9.095,9.465,22,0
97,1,2276049,2281049,5.932,5.932,5.338,5.424,8.891,8.836,22.455,22.466,36.623,36.642,31.937,31.714,7.699,6.877,6.179,6.343,9.465,8.931,22,0
98,1,2281049,2286049,5.932,5.932,5.424,5.424,8.836,8.702,22.466,22.448,36.642,36.487,31.714,31.53,6.877,8.397,6.343,6.262,8.931,9.095,22,0
99,1,2286049,2291048,5.932,7.183,5.424,5.764,8.702,8.737,22.448,22.455,36.487,35.857,31.53,33.127,8.397,8.972,6.262,6.426,9.095,9.054,22,0
100,1,2291048,2296046,7.183,7.325,5.764,5.601,8.737,8.646,22.455,22.452,35.857,36.632,33.127,31.627,8.972,8.479,6.426,6.302,9.054,8.726,22,0
101,1,2296046,2301045,7.325,7.399,5.601,5.364,8.646,8.583,22.452,22.469,36.632,37.029,31.627,32.895,8.479,7.575,6.302,6.015,8.726,9.013,22,0
102,1,2301045,2306044,7.399,7.763,5.364,5.963,8.583,8.477,22.469,22.452,37.029,36.729,32.895,31.279,7.575,10.984,6.015,6.097,9.013,8.767,22,0
103,1,2306044,2311042,7.763,7.189,5.963,5.41,8.477,8.453,22.452,22.466,36.729,35.916,31.279,32.895,10.984,8.767,6.097,6.549,8.767,10.656,22,0
104,1,2311042,2316041,7.189,7.189,5.41,5.41,8.453,8.394,22.466,22.473,35.916,36.022,32.895,31.83,8.767,7.288,6.549,6.22,10.656,8.849,22,0
105,1,2316041,2321040,7.189,7.195,5.41,5.415,8.394,8.331,22.473,22.466,36.022,36.206,31.83,32.973,7.288,7.452,6.22,6.056,8.849,9.752,22,0
106,1,2321040,2326039,7.195,7.221,5.415,5.429,8.331,8.272,22.466,22.455,36.206,36.555,32.973,31.695,7.452,6.837,6.056,5.974,9.752,9.095,22,0
107,1,2326039,2331037,7.221,7.591,5.429,5.467,8.272,8.276,22.455,22.473,36.555,36.487,31.695,32.266,6.837,11.723,5.974,7.411,9.095,9.465,22,1
108,1,1042325,1047325,5.0,6.01,5.0,4.924,29.597,31.131,24.569,24.569,36.419,36.429,32.895,31.056,4.619,14.845,6.179,6.262,21.21,11.723,13,0
109,1,1047325,1052324,6.01,6.673,4.924,5.467,31.131,31.844,24.569,24.551,36.429,34.744,31.056,31.075,14.845,14.352,6.262,6.015,11.723,24.947,13,0
110,1,1052324,1057323,6.673,6.912,5.467,5.555,31.844,31.249,24.551,24.541,34.744,36.448,31.075,32.74,14.352,10.82,6.015,5.974,24.947,18.705,13,0
111,1,1057323,1062322,6.912,7.154,5.555,5.753,31.249,30.819,24.541,24.544,36.448,36.652,32.74,33.069,10.82,11.929,5.974,6.097,18.705,18.294,13,0
112,1,1062322,1067322,7.154,7.28,5.753,6.002,30.819,30.354,24.544,24.541,36.652,36.042,33.069,31.869,11.929,12.586,6.097,6.138,18.294,13.448,13,0
113,1,1067322,1072322,7.28,7.439,6.002,5.909,30.354,29.972,24.541,24.541,36.042,36.497,31.869,31.956,12.586,9.259,6.138,6.056,13.448,18.171,13,0
114,1,1072322,1077320,7.439,7.488,5.909,4.891,29.972,29.558,24.541,24.52,36.497,36.574,31.956,32.401,9.259,7.329,6.056,6.179,18.171,16.693,13,0
115,1,1077320,1082319,7.488,7.503,4.891,4.906,29.558,28.947,24.52,24.502,36.574,36.032,32.401,31.743,7.329,9.547,6.179,5.974,16.693,21.949,13,0
116,1,1082319,1087319,7.503,7.503,4.906,4.906,28.947,28.939,24.502,24.502,36.032,36.816,31.743,31.066,9.547,10.204,5.974,6.138,21.949,17.021,13,0
117,1,1087319,1092317,7.503,7.503,4.906,4.906,28.939,28.497,24.502,24.495,36.816,36.555,31.066,31.25,10.204,25.933,6.138,6.672,17.021,19.157,13,1
118,1,1092317,1097317,7.503,8.173,4.906,5.14,28.497,29.384,24.495,24.492,36.555,36.768,31.25,31.25,25.933,26.837,6.672,6.877,19.157,14.188,13,0
119,1,1097317,1102316,8.173,8.199,5.14,5.184,29.384,29.14,24.492,24.478,36.768,36.468,31.25,31.559,26.837,10.04,6.877,6.056,14.188,15.255,13,0
120,1,1102316,1107316,8.199,8.187,5.184,5.218,29.14,28.588,24.478,24.467,36.468,36.419,31.559,31.037,10.04,7.452,6.056,6.097,15.255,16.775,13,0
121,1,1107316,1112314,8.187,8.169,5.218,5.049,28.588,28.434,24.467,24.471,36.419,36.545,31.037,31.085,7.452,27.206,6.097,6.713,16.775,14.393,13,0
122,1,1112314,1117314,8.169,8.441,5.049,5.125,28.434,28.367,24.471,24.471,36.545,37.204,31.085,31.201,27.206,12.545,6.713,6.262,14.393,18.294,13,0
123,1,1117314,1122313,8.441,8.65,5.125,4.708,28.367,28.521,24.471,24.446,37.204,36.594,31.201,31.269,12.545,14.27,6.262,6.056,18.294,16.323,13,0
124,1,1122313,1127312,8.65,8.673,4.708,4.528,28.521,28.087,24.446,24.439,36.594,35.819,31.269,31.337,14.27,13.859,6.056,6.262,16.323,11.477,13,0
125,1,1127312,1132311,8.673,8.68,4.528,4.528,28.087,28.075,24.439,24.439,35.819,36.332,31.337,32.769,13.859,12.75,6.262,6.056,11.477,14.27,13,0
126,1,1132311,1137311,8.68,8.695,4.528,4.528,28.075,27.535,24.439,24.411,36.332,36.051,32.769,32.314,12.75,18.828,6.056,6.343,14.27,19.937,13,0
127,1,1137311,1142310,8.695,8.733,4.528,4.539,27.535,27.551,24.411,24.429,36.051,36.419,32.314,30.678,18.828,27.576,6.343,7.411,19.937,19.444,13,0
128,1,1142310,1147309,8.733,8.766,4.539,4.703,27.551,28.257,24.429,24.408,36.419,36.071,30.678,32.469,27.576,13.777,7.411,6.015,19.444,15.091,13,0
129,1,1147309,1152308,8.766,8.805,4.703,4.574,28.257,29.325,24.408,24.408,36.071,36.158,32.469,31.995,13.777,12.134,6.015,6.056,15.091,11.723,13,0
130,1,1152308,1157308,8.805,8.805,4.574,4.576,29.325,28.907,24.408,24.404,36.158,36.245,31.995,32.547,12.134,12.627,6.056,6.056,11.723,17.678,13,0
131,1,1157308,1162306,8.805,8.805,4.576,4.576,28.907,28.28,24.404,24.404,36.245,36.962,32.547,32.566,12.627,14.722,6.056,6.138,17.678,14.393,13,0
132,1,1162306,1167306,8.805,9.059,4.576,4.63,28.28,29.562,24.404,24.39,36.962,37.252,32.566,31.017,14.722,14.598,6.138,6.22,14.393,14.064,13,0
133,1,1167306,1172305,9.059,9.059,4.63,4.631,29.562,29.116,24.39,24.383,37.252,35.974,31.017,31.966,14.598,19.28,6.22,6.549,14.064,15.091,13,0
134,1,1172305,1177305,9.059,8.214,4.631,4.55,29.116,28.986,24.383,24.373,35.974,35.751,31.966,32.74,19.28,11.231,6.549,6.015,15.091,13.448,13,0
135,1,1177305,1182303,8.214,8.791,4.55,4.852,28.986,29.991,24.373,24.369,35.751,36.826,32.74,30.224,11.231,46.508,6.015,8.109,13.448,13.325,13,1
136,1,1182303,1187303,8.791,8.882,4.852,5.076,29.991,31.34,24.369,24.362,36.826,36.565,30.224,30.601,46.508,35.871,8.109,7.863,13.325,17.76,13,0
137,1,1187303,1192302,8.882,8.882,5.076,5.268,31.34,30.744,24.362,24.359,36.565,36.322,30.601,29.962,35.871,36.652,7.863,8.356,17.76,10.45,13,0
138,1,1192302,1197301,8.882,8.847,5.268,5.846,30.744,31.009,24.359,24.352,36.322,36.477,29.962,31.201,36.652,31.641,8.356,7.452,10.45,13.161,13,0
139,1,1197301,1202300,8.847,8.847,5.846,5.708,31.009,32.045,24.352,24.345,36.477,36.526,31.201,30.243,31.641,45.646,7.452,7.494,13.161,9.136,13,0
140,1,1202300,1207300,8.847,8.834,5.708,5.726,32.045,31.438,24.345,24.338,36.526,36.787,30.243,31.221,45.646,24.085,7.494,6.877,9.136,14.023,13,0
141,1,1207300,1212349,8.834,8.757,5.726,5.638,31.438,30.67,24.338,24.334,36.787,36.012,31.221,31.579,24.085,19.527,6.877,6.22,14.023,9.834,13,0
142,1,1212349,1217348,8.757,8.757,5.638,5.81,30.67,30.677,24.334,24.331,36.012,37.107,31.579,31.734,19.527,21.169,6.22,6.96,9.834,12.75,13,0
143,1,1217348,1222347,8.757,8.356,5.81,5.487,30.677,30.871,24.331,24.317,37.107,36.09,31.734,31.443,21.169,13.038,6.96,5.974,12.75,8.397,13,1
144,1,1222347,1227347,8.356,8.792,5.487,5.477,30.871,31.702,24.317,24.31,36.09,36.419,31.443,29.953,13.038,47.863,5.974,9.136,8.397,14.886,13,1
145,1,460198,465199,5.0,5.0,5.0,5.0,14.702,14.698,23.296,23.279,37.301,37.02,30.224,30.34,4.865,5.81,7.206,6.877,5.933,5.687,19,0
146,1,465199,470200,5.0,5.069,5.0,5.0,14.698,14.718,23.279,23.293,37.02,35.48,30.34,29.798,5.81,4.865,6.877,7.329,5.687,7.329,19,0
147,1,470200,475200,5.069,5.094,5.0,5.0,14.718,14.659,23.293,23.3,35.48,36.991,29.798,29.652,4.865,4.824,7.329,7.124,7.329,5.851,19,0
148,1,475200,480200,5.094,5.0,5.0,5.0,14.659,14.604,23.3,23.3,36.991,36.942,29.652,29.565,4.824,5.851,7.124,6.672,5.851,6.343,19,0
149,1,480200,485201,5.0,5.056,5.0,5.0,14.604,14.552,23.3,23.279,36.942,37.088,29.565,30.62,5.851,4.988,6.672,6.919,6.343,6.426,19,0
150,1,485201,490200,5.056,5.056,5.0,5.0,14.552,14.509,23.279,23.286,37.088,35.073,30.62,29.546,4.988,4.824,6.919,7.37,6.426,6.672,19,1
151,1,490200,495201,5.056,5.0,5.0,5.0,14.509,14.473,23.286,23.293,35.073,37.146,29.546,29.73,4.824,4.865,7.37,7.822,6.672,6.426,19,0
152,1,495201,500201,5.0,4.835,5.0,5.0,14.473,14.383,23.293,23.293,37.146,35.354,29.73,30.34,4.865,4.947,7.822,9.67,6.426,9.588,19,0
153,1,500201,505202,4.835,4.475,5.0,5.131,14.383,14.304,23.293,23.293,35.354,37.901,30.34,30.388,4.947,4.824,9.67,9.711,9.588,6.138,19,0
154,1,505202,510201,4.475,4.38,5.131,5.073,14.304,14.194,23.293,23.279,37.901,36.526,30.388,29.72,4.824,4.906,9.711,8.644,6.138,6.015,19,0
155,1,510201,515202,4.38,4.38,5.073,5.136,14.194,14.115,23.279,23.293,36.526,35.315,29.72,30.078,4.906,4.824,8.644,8.315,6.015,6.22,19,0
